Time,AccelerometerX,AccelerometerY,AccelerometerZ 
4.928322,-1.098,-9.794,-2.285
4.938257,-1.098,-9.78,-2.362
4.948192,-1.059,-9.749,-2.316
4.958127,-1.098,-9.787,-2.323
4.968062,-1.098,-9.833,-2.291
4.977997,-1.098,-9.812,-2.407
4.987932,-1.098,-9.851,-2.414
4.997867,-1.098,-9.851,-2.414
5.00782,-1.059,-9.851,-2.414
5.017773,-1.059,-9.651,-2.419
5.027726,-1.059,-9.767,-2.439
5.037679,-1.059,-9.78,-2.362
5.047632,-1.02,-9.735,-2.394
5.057585,-1.02,-9.742,-2.355
5.067538,-1.02,-9.671,-2.303
5.077491,-1.02,-9.71,-2.31
5.087444,-0.981,-9.651,-2.419
5.097397,-0.981,-9.696,-2.387
5.10735,-0.902,-9.774,-2.4
5.117303,-0.941,-9.78,-2.362
5.127256,-0.902,-9.787,-2.323
5.137228,-0.863,-9.749,-2.316
5.1472,-0.824,-9.774,-2.4
5.157172,-0.785,-9.774,-2.4
5.167144,-0.785,-9.721,-2.471
5.177116,-0.745,-9.69,-2.426
5.187088,-0.745,-9.665,-2.341
5.19706,-0.667,-9.619,-2.373
5.207032,-0.706,-9.676,-2.503
5.217004,-0.706,-9.671,-2.303
5.226976,-0.667,-9.69,-2.426
5.236948,-0.667,-9.721,-2.471
5.24692,-0.667,-9.701,-2.587
5.256892,-0.667,-9.735,-2.394
5.266858,-0.667,-9.708,-2.548
5.276824,-0.667,-9.721,-2.471
5.28679,-0.706,-9.728,-2.432
5.296756,-0.745,-9.778,-2.6
5.306722,-0.745,-9.844,-2.453
5.316688,-0.785,-9.844,-2.453
5.326654,-0.863,-9.767,-2.439
5.33662,-0.824,-9.792,-2.523
5.346586,-0.863,-9.837,-2.491
5.356552,-0.863,-9.844,-2.453
5.366518,-0.863,-9.869,-2.537
5.376484,-0.863,-9.81,-2.646
5.38645,-0.863,-9.837,-2.491
5.396416,-0.824,-9.844,-2.453
5.406395,-0.745,-9.844,-2.453
5.416374,-0.745,-9.785,-2.562
5.426353,-0.706,-9.733,-2.632
5.436332,-0.667,-9.746,-2.555
5.446311,-0.628,-9.753,-2.516
5.45629,-0.588,-9.733,-2.632
5.466269,-0.628,-9.681,-2.703
5.476248,-0.628,-9.694,-2.625
5.486227,-0.588,-9.726,-2.671
5.496206,-0.549,-9.74,-2.594
5.506185,-0.471,-9.687,-2.664
5.516164,-0.471,-9.642,-2.696
5.526143,-0.51,-9.681,-2.703
5.536122,-0.549,-9.583,-2.805
5.546077,-0.549,-9.61,-2.65
5.556032,-0.51,-9.649,-2.657
5.565987,-0.471,-9.596,-2.728
5.575942,-0.471,-9.642,-2.696
5.585897,-0.471,-9.596,-2.728
5.595852,-0.471,-9.571,-2.644
5.605807,-0.471,-9.571,-2.644
5.615762,-0.51,-9.526,-2.675
5.625717,-0.588,-9.624,-2.573
5.635672,-0.667,-9.61,-2.65
5.645627,-0.667,-9.61,-2.65
5.655582,-0.745,-9.662,-2.58
5.665537,-0.745,-9.715,-2.51
5.675492,-0.824,-9.696,-2.387
5.685447,-0.785,-9.715,-2.51
5.695402,-0.824,-9.74,-2.594
5.705357,-0.824,-9.753,-2.516
5.715312,-0.863,-9.785,-2.562
5.725267,-0.863,-9.765,-2.678
5.735222,-0.902,-9.855,-2.614
5.745177,-0.902,-9.912,-2.744
5.755132,-0.902,-9.965,-2.673
5.765087,-0.902,-9.944,-2.789
5.775042,-0.902,-9.86,-2.814
5.784997,-0.824,-9.926,-2.666
5.794952,-0.824,-9.899,-2.821
5.804907,-0.824,-9.937,-2.828
5.814827,-0.785,-9.949,-2.989
5.824747,-0.824,-9.949,-2.989
5.834667,-0.863,-9.987,-2.996
5.844587,-0.941,-9.771,-2.639
5.854507,-0.902,-9.501,-2.591
5.864427,-0.863,-9.365,-2.687
5.874347,-0.824,-9.301,-2.596
5.884267,-0.745,-9.353,-2.526
5.894187,-0.706,-9.392,-2.532
5.904107,-0.549,-9.34,-2.603
5.914027,-0.392,-9.281,-2.712
5.923947,-0.275,-9.308,-2.557
5.933867,-0.078,-9.353,-2.526
5.943786,0.078,-9.424,-2.578
5.953705,0.275,-9.456,-2.623
5.963624,0.353,-9.481,-2.707
5.973543,0.392,-9.617,-2.612
5.983462,0.392,-9.656,-2.619
5.993381,0.392,-9.733,-2.632
6.0033,0.353,-9.758,-2.716
6.013219,0.314,-9.849,-2.653
6.023138,0.235,-9.926,-2.666
6.033057,0.196,-9.926,-2.666
6.042976,0.118,-9.933,-2.628
6.052895,0.078,-9.933,-2.628
6.062814,0.078,-9.919,-2.705
6.072746,0.078,-9.887,-2.66
6.082678,0.078,-9.855,-2.614
6.09261,0.118,-9.842,-2.691
6.102542,0.157,-9.855,-2.614
6.112474,0.275,-9.862,-2.575
6.122406,0.314,-9.862,-2.575
6.132338,0.353,-9.855,-2.614
6.14227,0.431,-9.883,-2.46
6.152202,0.471,-9.805,-2.446
6.162134,0.549,-9.799,-2.485
6.172066,0.549,-9.78,-2.362
6.181998,0.628,-9.774,-2.4
6.19193,0.588,-9.762,-2.239
6.201832,0.628,-9.78,-2.362
6.211734,0.628,-9.819,-2.369
6.221636,0.667,-9.865,-2.337
6.231538,0.706,-9.917,-2.266
6.24144,0.785,-9.91,-2.305
6.251342,0.863,-10.001,-2.241
6.261244,0.941,-10.008,-2.203
6.271146,0.941,-10.046,-2.21
6.281048,0.981,-10.039,-2.248
6.29095,1.02,-10.053,-2.171
6.300852,0.981,-9.987,-2.319
6.310754,0.941,-9.994,-2.28
6.320656,0.902,-9.949,-2.312
6.330558,0.902,-9.955,-2.273
6.340442,0.863,-9.949,-2.312
6.350326,0.785,-9.924,-2.228
6.36021,0.706,-9.851,-2.414
6.370094,0.628,-9.819,-2.369
6.379978,0.588,-9.787,-2.323
6.389862,0.51,-9.787,-2.323
6.399746,0.392,-9.846,-2.214
6.40963,0.392,-9.91,-2.305
6.419514,0.314,-9.885,-2.221
6.429398,0.353,-9.885,-2.221
6.439282,0.392,-9.892,-2.182
6.449166,0.431,-9.892,-2.182
6.45905,0.431,-9.88,-2.021
6.468934,0.392,-9.79,-2.085
6.478807,0.471,-9.771,-1.962
6.48868,0.392,-9.737,-2.155
6.498553,0.392,-9.719,-2.032
6.508426,0.314,-9.68,-2.026
6.518299,0.235,-9.653,-2.18
6.528172,0.196,-9.705,-2.11
6.538045,0.157,-9.776,-2.162
6.547918,0.157,-9.79,-2.085
6.557791,0.118,-9.821,-2.13
6.567664,0.118,-9.892,-2.182
6.577537,0.078,-9.905,-2.105
6.58741,0.118,-9.93,-2.189
6.597282,0.157,-9.994,-2.28
6.607154,0.196,-10.005,-2.441
6.617026,0.235,-10.051,-2.41
6.626898,0.314,-10.096,-2.378
6.63677,0.353,-10.135,-2.385
6.646642,0.51,-10.096,-2.378
6.656514,0.628,-10.019,-2.364
6.666386,0.706,-9.942,-2.35
6.676258,0.824,-9.896,-2.382
6.68613,0.902,-9.878,-2.26
6.696002,0.941,-9.78,-2.362
6.705874,0.941,-9.685,-2.226
6.715746,0.941,-9.678,-2.264
6.725644,0.981,-9.703,-2.348
6.735542,0.863,-9.685,-2.226
6.74544,0.824,-9.64,-2.257
6.755338,0.745,-9.615,-2.173
6.765236,0.706,-9.576,-2.166
6.775134,0.588,-9.53,-2.198
6.785032,0.51,-9.594,-2.289
6.79493,0.471,-9.692,-2.187
6.804828,0.314,-9.787,-2.323
6.814726,0.275,-9.878,-2.26
6.824624,0.235,-9.878,-2.26
6.834522,0.157,-9.937,-2.151
6.84442,0.118,-9.962,-2.235
6.854307,0.039,-9.962,-2.235
6.864194,0.0,-9.974,-2.396
6.874081,-0.039,-9.955,-2.273
6.883968,-0.039,-9.942,-2.35
6.893855,-0.118,-9.955,-2.273
6.903742,-0.157,-9.949,-2.312
6.913629,-0.157,-9.89,-2.421
6.923516,-0.157,-9.837,-2.491
6.933403,-0.157,-9.812,-2.407
6.94329,-0.118,-9.753,-2.516
6.953177,-0.039,-9.715,-2.51
6.963064,-0.078,-9.708,-2.548
6.972951,-0.078,-9.662,-2.58
